day,buzz,positive_buzz,negative_buzz,quality,postive_quality,negative_quality,impression,positive_impression,negative_impression,value,positive_value,negative_value,reputation,positive_reputation,negative_reputation,satisfaction,positive_satisfaction,negative_satisfaction,recommend,positive_recommend,negative_recommend,awareness,attention,ad_awareness,wom_exposure,consideration,purchase_intent
2015-07-13,5.3453326467062166,37.304742,3.136757,34.997053205740215,229.25223,5.547015,38.888090222709124,256.135282,7.558108,14.412040801983286,111.611174,19.487741,24.2292317688396,166.792614,11.91656,9.846985640083254,69.606342,6.66327,21.31365518529604,144.345289,8.105938,91.80275028655419,6.326778265866039,8.580382637783115,7.174812502417528,23.120207734035482,7.34739385781617
2015-07-14,5.201065733800852,36.859459,3.683461,34.369894697115434,224.781998,5.547015,40.08745046365154,261.48,5.774488,15.320812049013849,116.265851,18.539105,24.87896629709045,168.828211,10.13294,9.456116249005902,67.178206,6.86055,22.36671265305161,149.515276,6.844898,92.03405297973998,6.355992424409636,8.128521094945244,6.789154405850311,23.133425916886715,7.209856936962051
2015-07-15,4.571893869008525,32.602059,3.036402,36.22719851463528,239.78484,5.509733,40.55352768128214,268.889017,6.636278,15.567253766596668,120.820228,20.149456,26.485866160761862,179.732514,8.45294,9.622820952014466,70.65507,8.42593,23.365648938388162,157.40292,6.301258,92.14636910352937,5.510963661210013,7.324472190138621,5.9544473050684,23.18255797460556,7.064724648482098
2015-07-16,5.9324918481617095,41.535632,3.036402,37.028413709449865,245.807647,5.509733,39.86433728524705,267.374979,8.673184,13.306166569236252,112.651929,26.300834,26.414243119771314,178.007286,6.590612,10.022606882619607,73.468185,8.42593,23.63424325833244,159.676971,6.301258,91.75231537922608,6.868273167047407,7.640160034156057,7.038079426664631,22.295552780799145,7.218447582097867
2015-07-17,6.262699668303616,43.354562,2.107844,37.18749179568511,251.748394,6.828141,40.48677580860319,277.500623,10.850981,14.721766979672859,121.841335,24.882419,27.37552027227969,185.91439,5.616687,10.395142822998613,75.53866,7.07529,24.06991506036123,168.251227,9.724545,91.50945620897151,6.90278908921879,8.940282098597802,7.549846678507446,23.551071890612697,7.519805496075124
2015-07-18,7.290893820804436,49.924783,2.744251,37.86080222379458,252.883087,7.879822,41.022740835704774,277.709574,12.244902,14.860012306543844,124.640159,28.478659,28.361612122010595,189.906698,6.374201,11.451770205659177,81.547345,7.441121,25.0387409745609,173.148136,11.118466,91.5758113271718,8.139042063754998,9.849173166022918,8.325772142536374,24.101503742411616,7.729702397476615
2015-07-19,6.876262725926387,46.826306,3.777848,36.2024564954022,234.069736,7.426283,40.13650827234294,262.73023,11.457866,14.770574005482203,120.469281,27.998929,28.96011718044204,186.915088,5.611895,11.912882460650506,82.101686,7.521752,24.527930290388795,162.197286,8.641551,90.3739498963719,8.083157309078032,8.74813314360366,8.319972140506508,22.965233629019068,7.667905613928305
2015-07-20,7.006876632997357,47.298028,2.823303,38.16880320378153,250.738152,8.469433,41.03955950091389,273.199907,12.709646,13.759229793434374,117.438831,30.104917,29.697598302443307,192.608463,4.108995,11.647755001514652,81.233399,7.301642,25.046940022439884,169.708211,10.727851,91.0135009270742,7.8964846437752225,9.00749557050406,7.87520802694601,24.55374518012724,7.650039255845659
2015-07-21,6.854782624109845,45.018637,2.276599,38.34796267556057,249.857846,10.74449,40.51558424110194,267.61396,14.984703,13.680409594436108,115.905624,30.603344,30.547933439398207,194.58636,4.108995,11.587980638981827,78.098554,5.843322,24.53026574123644,165.957948,13.002908,91.64467244104262,7.585004765939668,8.655696097897692,7.455832113779334,24.994225954960044,7.193251929737389
2015-07-22,6.711613975387315,44.333422,2.821259,38.75363965029802,248.537829,8.841772,40.59356435673578,263.803792,12.727573,13.128720666259913,108.350285,27.147523,30.47448145237191,197.484101,8.995662,10.69822054894213,70.92632,4.756502,23.14992646670974,155.336368,12.151208,91.77469666633591,7.623886425877897,9.240040346807936,7.922584572378201,24.972770835830083,6.390188070206356
