day,buzz,positive_buzz,negative_buzz,quality,postive_quality,negative_quality,impression,positive_impression,negative_impression,value,positive_value,negative_value,reputation,positive_reputation,negative_reputation,satisfaction,positive_satisfaction,negative_satisfaction,recommend,positive_recommend,negative_recommend,awareness,attention,ad_awareness,wom_exposure,consideration,purchase_intent
2017-07-08,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766,589.766766
2017-07-09,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329,589.331329
2017-07-10,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954,598.325954
2017-07-11,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097,586.700097
2017-07-12,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233,579.37233
2017-07-13,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351,552.335351
2017-07-14,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246,548.715246
2017-07-15,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552,554.75552
2017-07-16,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528,563.319528
2017-07-17,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152,563.479152
2017-07-18,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949,589.650949
2017-07-19,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196,602.643196
2017-07-20,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243,628.671243
2017-07-21,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383,619.588383
2017-07-22,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743,608.470743
2017-07-23,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001,601.680001
