Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Spend,Comment
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-09-22,1192.06,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-09-29,2096.42,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-10-13,763.65,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-10-20,1481.4,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-11-03,763.65,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-11-10,1481.4,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-11-24,947.25,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-12-01,947.25,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-12-08,1665.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-12-15,183.6,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-12-29,727.06,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-02-09,1512.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-02-16,1512.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-02-23,3150.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-03-02,3150.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-03-09,424.35,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-03-16,424.35,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-03-23,3207.1800000000003,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-03-30,750.6,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-04-06,750.6,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-05-18,2160.9,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-05-25,7920.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-06-01,4670.21,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-06-08,1520.21,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-06-15,3089.52,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-06-22,1620.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-06-29,6087.6,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-07-06,2106.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-07-13,3035.52,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-07-20,4420.08,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-08-03,2700.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-08-31,2444.63,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-09-07,1530.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-10-05,3026.3,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-10-12,793.15,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-10-19,1586.31,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-10-26,1586.31,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-11-02,4396.5,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-11-09,2866.5,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-11-23,4950.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-11-30,3060.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-12-07,2743.2,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-12-14,938.7,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-12-21,10964.66,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-12-28,2468.7,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-01-04,2468.7,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-03-14,1132.7,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-03-21,13672.36,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-03-28,1080.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-04-04,1080.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-04-25,1278.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-05-16,1710.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-05-23,1710.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-05-30,990.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-06-13,2250.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-06-20,1170.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-06-27,151.2,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-07-04,3074.04,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-07-11,1199.52,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-08-01,151.2,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-08-29,1620.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-09-05,1080.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-09-19,1080.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-10-17,151.2,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-10-24,4050.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-10-31,810.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-11-14,630.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-11-21,6660.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-11-28,2340.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-12-05,5630.4,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-12-12,6388.2,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2016-12-19,810.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2017-01-09,938.7,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2017-12-18,10964.66,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2017-12-25,10964.66,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-01-15,630.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-01-22,630.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-01-29,630.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-02-05,630.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-03-26,6359.4,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-04-02,1739.7,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-04-09,810.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-04-16,1649.3400000000001,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-04-23,810.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-04-30,899.64,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-05-07,2448.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-05-14,2448.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-08-06,6847.2,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-11-05,1285.2,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-11-12,1285.2,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-12-24,17877.92,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2018-12-31,8202.92,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2019-01-21,6913.26,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2010-12-27,7332.0,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2011-04-25,16326.0,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2011-05-09,7700.0,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-04-07,11235.625,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-04-14,11235.625,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-04-21,11235.625,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-04-28,11235.625,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-05-05,11235.625,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-05-12,11235.625,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-05-19,11235.625,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-05-26,11235.625,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-10-13,3230.0,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-10-27,1163.65,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-11-03,1163.65,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-11-10,1163.65,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-11-17,1163.65,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-11-24,1163.65,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-12-01,1721.25,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-12-08,1721.25,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-12-15,1721.25,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2014-12-22,1721.25,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2015-06-29,4590.0,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2015-07-27,4590.0,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2016-03-28,3463.75,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2016-04-04,3825.0,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2016-04-18,4840.75,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2016-06-27,495.0,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2016-07-04,7288.75,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2018-02-05,1275.0,
ClientBrand,Magazines and Supplements,,Unclassified,EXCLUDING,CTC,2018-10-29,810.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2010-12-27,149597.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-01-03,47215.8,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-01-10,88051.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-01-17,46557.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-01-24,97528.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-01-31,63283.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-02-07,29670.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-02-14,28900.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-02-21,33329.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-02-28,47719.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-03-07,7650.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-03-14,60656.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-03-21,40105.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-03-28,53550.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-04-04,53196.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-04-11,34425.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-04-18,62942.5,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-04-25,46920.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-05-02,14790.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-05-09,25449.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-05-16,28390.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-05-23,51613.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-05-30,24225.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-06-06,39619.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-07-11,31349.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-08-01,33490.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-08-08,53839.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-08-15,24153.6,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-08-22,58055.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-08-29,31004.6,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-09-05,53839.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-09-12,79775.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-09-19,58772.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-09-26,26016.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-10-03,20349.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-10-10,49674.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-10-17,30181.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-10-24,39112.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-11-14,49674.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2011-12-26,86745.9,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2012-01-02,72639.3,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2012-01-09,38422.55,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2012-01-16,40606.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2012-01-23,42409.05,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2012-01-30,81632.3,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2012-02-06,3079.0,
ClientBrand,National Press,,Unclassified,EXCLUDING,CTC,2012-02-13,34640.9,
