Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Tracked Revenue,Spend
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-07-01,31320.82,2526.5414
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-07-08,28207.14,3556.3928
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-07-15,14938.56,1693.8462
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-07-22,23149.2,2944.0215
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-07-29,16939.47,1397.5394
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-08-05,18345.36,2242.8947
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-08-12,19863.36,3021.0172
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-08-19,19772.28,1631.2581
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-08-26,25410.18,2096.3911
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-09-02,24784.25,2044.7475
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-09-09,23696.21,3753.2367
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-09-16,14458.48,1294.4821
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-09-23,15744.41,2215.3132
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-09-30,18954.45,1563.764
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-10-07,19911.28,1642.7256
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-10-14,21459.21,1770.4342
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-10-21,15745.89,1299.0678
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-10-28,20469.29,1679.3233
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-11-04,19934.44,1644.6263
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-11-11,25887.07,2135.7414
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-11-18,36106.94,3142.0013
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-11-25,11646.05,929.396
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-12-02,14389.57,1187.1664
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-12-09,8062.63,659.2526
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-12-16,3346.88,276.1251
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-12-23,54838.97,4957.5419
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-12-30,95396.69,8721.1588
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-01-06,28900.87,2384.3924
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-01-13,32226.56,2939.2812
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-01-20,37054.58,3280.5291
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-01-27,38194.47,3151.1394
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-02-03,22116.04,1824.6333
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-02-10,18427.22,1520.2944
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-02-17,31586.74,2605.9848
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-02-24,24114.01,1989.4677
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-03-03,21680.17,1788.6659
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-03-10,15685.52,1294.0854
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-03-17,15388.43,1269.5811
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-03-24,19167.38,1581.3476
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-03-31,22319.23,1841.3846
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-04-07,17266.8,1424.5235
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-04-14,24802.86,2214.0197
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-04-21,33192.82,2963.5689
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-04-28,22015.96,2016.7567
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-05-05,33399.81,2968.2712
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-05-12,18442.94,1521.5463
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-05-19,25745.84,2313.1918
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-05-26,23568.87,2114.4649
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-06-02,21396.86,1765.2497
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-06-09,15365.91,1267.6932
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-06-16,33287.86,2868.1322
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-06-23,26696.81,2289.1612
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-06-30,20171.92,1664.1884
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-07-07,19982.84,1648.5943
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-07-14,39247.36,3237.9222
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-07-21,37927.81,3123.4312
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-07-28,27921.9,2503.7755
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-08-04,32122.98,3143.1721
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-08-11,34591.79,3200.8733
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-08-18,44958.49,4215.3073
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-08-25,45772.81,4227.3437
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-09-01,23347.92,2208.8459
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-09-08,33794.8,2788.0835
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-09-15,32111.97,3193.9894
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-09-22,31816.9,3290.338
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-09-29,32695.39,2697.3703
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-10-06,39740.62,3390.3374
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-10-13,42019.09,3708.9943
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-10-20,29303.13,2503.6626
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-10-27,60286.72,5273.0344
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-11-03,39003.81,3288.6387
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-11-10,26061.88,2181.9126
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-11-17,27976.9,3048.2505
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-11-24,34579.8,2907.6335
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-12-01,35403.78,2920.8256
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-12-08,23796.89,1963.2503
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-12-15,15425.95,1272.644
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-12-22,54133.81,5074.7137
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2014-12-29,144075.57,13657.5364
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-01-05,87604.56,7227.40369999999
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-01-12,82616.7,7678.3215
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-01-19,56705.81,4847.0662
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-01-26,43136.76,3558.7977
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-02-02,49418.41,2470.92
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-02-09,42375.82,2118.79
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-02-16,54188.8,3022.92
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-02-23,70205.77,4285.84
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-03-02,44416.89,2675.89
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-03-09,25037.93,1470.77
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-03-16,56786.62,3420.87
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-03-23,50994.1,3154.45
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-03-30,86985.92,5563.99
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-04-06,98371.65,6033.69
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-04-13,66091.72,4024.78
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-04-20,47860.83,2868.71
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-04-27,64056.68,3807.31
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-05-04,102200.41,6153.15
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-05-11,56944.35,3471.89
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-05-18,77323.36,4525.97
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-05-25,124334.16,7333.57
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-06-01,65686.79,3858.73
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-06-08,70543.56,4205.66
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-06-15,57558.18,3415.29
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-06-22,72620.0,4408.32
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-06-29,40435.74,2376.45
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-07-06,43321.31,2599.12
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-07-13,62788.74,3704.63
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-07-20,81664.92,4751.02
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-07-27,71828.91,4197.84
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-08-03,76998.51,4733.48
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-08-10,72728.52,4431.49
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-08-17,71420.76,4341.51
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-08-24,121595.78,8520.189999999999
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-08-31,134011.17,8889.95
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-09-07,73694.46,4495.5
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-09-14,82916.07,5054.55
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-09-21,63300.79,3778.6
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-09-28,57696.77,3444.22
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-10-05,59500.14,3608.11
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-10-12,53504.88,3218.96
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-10-19,38116.92,2173.42
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-10-26,70622.1,4281.8
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-11-02,72943.3,4472.44
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-11-09,55243.92,3353.93
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-11-16,81088.53,4849.4
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-11-23,174297.66,10662.55
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-11-30,82624.93,5534.88999999999
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-12-07,58171.98,3663.41
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-12-14,37239.35,2143.27
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-12-21,191245.43,12950.01
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2015-12-28,319843.75,21295.06
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-01-04,0.0,12435.02
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-01-04,0.0,4071.5458
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-01-04,0.0,56.45150000000001
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-01-04,0.0,3108.755
ClientBrand,Affiliates,Tenancy,Unclassified,EXCLUDING,CTC,2016-01-04,0.0,785.7200000000003
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-01-11,0.0,7862.64
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-01-11,0.0,2520.8132
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-01-11,0.0,56.45150000000001
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-01-11,0.0,1965.66
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-01-18,0.0,6014.699999999999
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-01-18,0.0,1969.0158
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-01-18,0.0,56.45150000000001
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-01-18,0.0,1503.6749999999997
