Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Spend,Comment
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-04-23,364.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-04-30,364.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-05-07,455.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-05-14,455.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-05-21,455.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-05-28,455.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-06-04,330.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-06-11,330.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-06-18,330.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-06-25,330.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-07-02,364.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-07-09,364.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-07-16,364.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-07-23,364.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-07-30,364.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-08-06,455.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-08-13,455.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-08-20,455.0,Wycombe Wanderers
ClientBrand,Sports Sponsorship,,Unclassified,EXCLUDING,CTC,2012-08-27,455.0,Wycombe Wanderers
