Brand,Media L1,Media L2,Message,Objective,Cost Type,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-08-17,1613911,904,1077.407169,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-08-17,2455779,2136,4627.0090832,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-08-24,0,0,0.0,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-08-24,1023415,28978,3521.5134116,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-08-24,210222,144,636.1992124,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-08-31,125219,110,497.44302179999994,
ClientBrand,Paid Social,Pinterest,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-08-31,132042,95,994.9487110000001,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-08-31,674901,718,2019.1364495082398,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-09-07,2395017,68842,9021.4886328,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-09-07,112946,82,496.29365179999996,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-09-14,3243597,3396,8149.254383,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-09-21,451430,826,2455.1190580000007,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-09-21,0,0,0.0,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-09-28,0,0,0.0,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-09-28,1013179,996,3522.0732359182603,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-10-05,3097860,83743,12117.3808918,
