Brand,Media L1,Media L2,Further TV Detail,Message,TVR Definition,Confirm VAT,Confirm CTC,wc Mon,Spend,TVRs,Comment
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-10-07,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-10-14,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-10-21,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-10-28,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-12-16,10625,92.07500000000002,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-12-23,10625,92.07500000000002,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-12-30,10625,92.07500000000002,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2014-01-06,10625,92.07500000000002,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-18,Free of charge,40.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-25,Free of charge,40.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-10,Free of charge,15.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-17,Free of charge,38.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-24,Free of charge,34.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-31,Free of charge,33.0,
ClientBrand,TV Sponsorship,C5Sky,C5 and Sky,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2015-11-30,30000,249.64,
ClientBrand,TV Sponsorship,C5Sky,C5 and Sky,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2015-12-07,30000,249.64,
ClientBrand,TV Sponsorship,C5Sky,C5 and Sky,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2015-12-14,30000,249.64,
ClientBrand,TV Sponsorship,C5Sky,C5 and Sky,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2015-12-21,30000,249.64,
ClientBrand,TV Sponsorship,CH5Xmas,CH5 XMAS MOVIES,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-12-06,26026,134.5,
ClientBrand,TV Sponsorship,CH5Xmas,CH5 XMAS MOVIES,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-12-13,26026,134.5,
ClientBrand,TV Sponsorship,CH5Xmas,CH5 XMAS MOVIES,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-12-20,52052,269.0,
ClientBrand,TV Sponsorship,CH5Xmas,CH5 XMAS MOVIES,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-12-27,52052,269.0,
ClientBrand,TV Sponsorship,DancingonIce,ITV Dancing On Ice,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2023-01-09,46222.22,46.09,
ClientBrand,TV Sponsorship,DancingonIce,ITV Dancing On Ice,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2023-01-16,46222.22,39.435,
ClientBrand,TV Sponsorship,DancingonIce,ITV Dancing On Ice,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2023-01-23,46222.22,42.57,
ClientBrand,TV Sponsorship,DancingonIce,ITV Dancing On Ice,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2023-01-30,46222.22,38.005,
ClientBrand,TV Sponsorship,DancingonIce,ITV Dancing On Ice,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2023-02-06,46222.22,36.85,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-10-26,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-11-02,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-11-09,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-11-16,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-11-23,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-11-30,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-12-07,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-12-14,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-12-21,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEnts,FESTIVE ENTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-12-28,79913.6,139.98,
ClientBrand,TV Sponsorship,FestiveEntsRenew,FESTIVE ENTS RENEWAL ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-11-01,88881.667,35.192,
ClientBrand,TV Sponsorship,FestiveEntsRenew,FESTIVE ENTS RENEWAL ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-11-08,88881.667,35.192,
ClientBrand,TV Sponsorship,FestiveEntsRenew,FESTIVE ENTS RENEWAL ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-11-15,88881.667,35.192,
ClientBrand,TV Sponsorship,FestiveEntsRenew,FESTIVE ENTS RENEWAL ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-11-22,88881.667,35.192,
ClientBrand,TV Sponsorship,FestiveEntsRenew,FESTIVE ENTS RENEWAL ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-11-29,88881.667,35.192,
ClientBrand,TV Sponsorship,FestiveEntsRenew,FESTIVE ENTS RENEWAL ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-12-06,88881.667,35.192,
ClientBrand,TV Sponsorship,FestiveEntsRenew,FESTIVE ENTS RENEWAL ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-12-13,88881.667,35.192,
ClientBrand,TV Sponsorship,FestiveEntsRenew,FESTIVE ENTS RENEWAL ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-12-20,88881.667,35.192,
ClientBrand,TV Sponsorship,FestiveEntsRenew,FESTIVE ENTS RENEWAL ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2021-12-27,88881.667,35.192,
ClientBrand,TV Sponsorship,History,History,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-11-27,7575.417489674986,6.0,
ClientBrand,TV Sponsorship,History,History,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-04,7575.417489674986,6.0,
ClientBrand,TV Sponsorship,History,History,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-11,7890.554857245467,6.249600000000001,
ClientBrand,TV Sponsorship,History,History,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-18,7890.554857245467,6.249600000000001,
ClientBrand,TV Sponsorship,History,History,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-25,10100.556652899983,8.0,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2014-04-07,12500,9.75,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2014-04-14,12500,9.75,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2014-04-21,15000,10.5,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2014-04-28,15000,10.5,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-10,107040.80107607233,153.2,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-17,163425.8705724107,233.9,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-24,197033.32835151698,282.0,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2019-12-02,44224.2,28.8,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2019-12-09,44224.2,4.86,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2019-12-16,44224.2,61.26,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2019-12-23,44224.2,145.98,
ClientBrand,TV Sponsorship,ITV,ITV,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2019-12-30,44224.2,55.84,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-13,31708.3333333,73.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-20,31708.3333333,59.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-27,31708.3333333,139.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-03,31708.3333333,180.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-10,31708.3333333,138.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-17,31708.3333333,139.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-24,31708.3333333,131.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-31,31708.3333333,130.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-09-07,31708.3333333,144.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-09-14,31708.3333333,109.0,
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-09-21,31708.3333333,105.0,
