Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Impressions,Spend,Comment
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-04-24,138692,4214.7656132611255,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2017-04-24,673029,4993.75,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-05-01,188109,4996.828608566485,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-05-08,154884,4114.257171157209,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-05-15,223605,5939.725696370237,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-05-22,14165,376.27161507606894,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-05-29,172895,4592.691908829999,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-06-05,303636,10084.519505889093,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-06-12,210814,7001.66612362995,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-06-19,105916,3517.7382391605383,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-06-26,220935,7337.81013132042,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-07-03,84606,2130.43986901085,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-07-10,225880,5687.820693711685,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-07-17,143276,3607.7926231283664,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-07-24,239220,6023.731478438593,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-07-31,268945,6772.228335710506,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-08-07,147812,7802.692811590153,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-08-14,119773,6322.571415870073,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-08-21,89401,4719.29572733588,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-08-28,129565,6839.471045203894,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-09-04,116948,7907.968340398223,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-09-11,85256,5764.97031868002,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-09-18,91934,6216.533514093188,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-09-25,1927,130.30282682856804,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-10-02,188840,4003.2025697240274,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-10-09,14073,298.33229063612714,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-10-16,226156,4794.261175378666,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-10-23,129,2.7346596668841325,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-10-30,206917,4386.415304594294,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-11-06,23282,8139.88219283605,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-11-13,16,5.593940172037488,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-11-20,8,2.796970086018744,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-11-27,61,21.326896905892927,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-12-04,959144,29163.411289637916,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-12-11,1694803,51531.612504391625,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-12-18,3478573,105768.3258197201,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2017-12-18,513128,4994.599999999999,
ClientBrand,VOD,Amazon,Unclassified,EXCLUDING,CTC,2017-12-25,121734,1239.4126527492003,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-12-25,158193,4809.963386250335,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2017-12-25,844972,8241.6,
ClientBrand,VOD,Amazon,Unclassified,EXCLUDING,CTC,2018-01-01,583431,5038.7172778491995,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-01-01,1329329,31049.58598969154,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2018-01-01,307143,2997.1,
ClientBrand,VOD,Amazon,Unclassified,EXCLUDING,CTC,2018-01-08,585346,5533.999590741602,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-01-08,554387,13155.608995632338,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2018-01-08,302156,2913.7999999999997,
ClientBrand,VOD,Amazon,Unclassified,EXCLUDING,CTC,2018-01-15,177745,1315.5348294182031,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-01-15,400129,9333.76799690119,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2018-01-15,299018,2913.7999999999997,
ClientBrand,VOD,Amazon,Unclassified,EXCLUDING,CTC,2018-01-22,177974,1331.5579586665046,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-01-22,400762,9332.916996901471,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2018-01-22,298465,2913.7999999999997,
ClientBrand,VOD,Amazon,Unclassified,EXCLUDING,CTC,2018-01-29,191028,1356.791836128204,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-01-29,657185,10466.44899652514,
ClientBrand,VOD,Amazon,Unclassified,EXCLUDING,CTC,2018-02-05,146664,1441.5794553348005,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-02-05,656513,10466.44899652514,
