Brand,Media L1,Media L2,Message,Device,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-07-27,896105,769,4012.655267, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-03,4749246,4725,5103.830000000001, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-03,687483,616,2447.302191, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-10,337655,745,646.01, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-10,575593,429,2041.753908, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-17,304674,751,712.74, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-17,279096,278,980.076787, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-24,368738,885,763.77, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-24,767201,724,2607.745717, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-31,408401,907,761.96, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-08-31,135106,116,437.028302, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-09-07,833089,2058,1770.33, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-09-07,321424,308,1330.618776, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-09-14,2668065,3703,3716.5600000000004, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-09-14,333313,306,1652.717338, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-09-21,1469187,2421,1519.0500000000002, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-09-21,161119,136,717.960804, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-09-28,1247285,2300,1492.58, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-09-28,1203658,1384,7824.953082, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-10-05,29095,58,36.98, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-10-05,158348,136,1038.656724, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-10-12,90877,192,203.39, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-10-12,191493,132,1380.676063, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-10-26,373307,798,1153.41, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-10-26,550297,601,3295.393382, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-11-02,1219846,7056,3587.6, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-11-02,336246,316,2596.306836, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-11-09,1243736,6005,2251.12, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-11-09,250543,248,1836.19189, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-11-16,291566,301,2034.814977, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-11-23,135759,132,967.077691, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-11-30,63637,112,555.745704, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-12-07,83369,103,743.973361, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-12-14,54775,70,449.46988, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-12-21,170941,381,547.8, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-12-21,188439,252,930.662824, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-12-28,1195770,1722,2805.05, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-12-28,1179341,1232,4740.492548, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-01-04,5407907,7070,5664.43, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-01-04,1699328,1487,5095.063521, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-01-11,829071,1981,2177.63, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-01-11,2733201,2536,5767.443419, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-02-01,945053,4651,1544.97, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-02-08,137005,1408,305.42, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-02-15,531246,10338,941.5799999999999, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-02-22,176076,2599,393.06, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-02-22,1540725,699,1145.379209, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-02-29,62826,492,164.76999999999998, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-02-29,598909,497,567.375701, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-03-07,734372,570,597.295945, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-03-14,1696518,1343,2332.255223, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-03-21,1453580,878,2028.394405, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-03-21,722198,33,3827.567322916416, InMobi - costs are prorata'ed according to delivered impressions
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-03-28,1250304,58,6626.469104195367, InMobi - costs are prorata'ed according to delivered impressions
